image,feedback
1,"You're not alone in feeling nervous. Take a breath this is just a conversation, not a test of your worth. You've prepared. You’ve got this."
2,"Take a moment, no rush at all. We are just having a friendly chat there s no pressure here."
3,"It is okay to pause and think. We are here to learn about you, not to test you."
4,Breathe in slowly and out. You are doing just fine. Let us continue when you are ready.
5,You do not need to be perfect just be clear and calm
6,You are more capable than you feel just keep going one step at a time
7,your voice matters speak with confidence even if your heart is racing
8,Trust yourself you know more than you think and you belong here
9,Stay present stay grounded and let each word come naturally
10,Let go of fear and let your effort speak for you gently and clearly
11,"You're not alone in feeling nervous. Take a breath this is just a conversation, not a test of your worth. You've prepared. You’ve got this."
12,Breathe in slowly and out. You are doing just fine. Let us continue when you are ready.
13,You do not need to be perfect just be clear and calm
14,Stay present stay grounded and let each word come naturally
15,Let go of fear and let your effort speak for you gently and clearly
16,"You're not alone in feeling nervous. Take a breath this is just a conversation, not a test of your worth. You've prepared. You’ve got this."
17,Breathe in slowly and out. You are doing just fine. Let us continue when you are ready.
18,"You appear thoughtful and composed. Keep going at your pace, your presence is steady and clear."
19,"You seem to be doing good, keeping steady and focused. It is perfectly fine to be in a neutral space, stay present and proceed with confidence."
20,"It looks like you might be tired, if you need a short break or a moment to reset, that is totally okay. Keep going at your pace."
21,You seem calm and collected. Keep steady your presence brings clarity and confidence to the conversation.
22,Good! You appear to be attentive and focused. That calm presence is valuable and stay grounded and continue at your own pace
23,"Do not be anxious it is okay, you will do good. Try to stay present and breathe slowly. You're doing better than you think, and you've got the strength to move through this."
24,"Seems like you are overwhelmed, pause for a moment and take a deep breath. You do not have to solve everything at once. One step at a time you have got this."
25,"You look concerned, try to stay grounded in the moment. Whatever you're facing, you're not alone. You have the strength to get through this."
26,"Take a break for a while you look worried. Space out a liitle and take a breath. You do not have to have all the answers right now. Stay steady, and trust yourself and figure it out, step by step"
